Scan Index,Status,Wavelength,Intensity
29760168,00004,766.7034790,0.580
29760169,00004,766.7034809,0.580
29760170,00004,766.7034798,0.580
29760171,00004,766.7034793,0.580
29760172,00004,766.7034781,0.580
29760173,00004,766.7034811,0.580
29760174,00004,766.7034797,0.580
29760175,00004,766.7034785,0.580
29760176,00004,766.7034801,0.580
29760177,00004,766.7034793,0.580
29760178,00004,766.7034795,0.580
29760179,00004,766.7034806,0.580
29760180,00004,766.7034800,0.580
29760181,00004,766.7034802,0.580
29760182,00004,766.7034814,0.580
29760183,00004,766.7034808,0.580
29760184,00004,766.7034799,0.580
29760185,00004,766.7034792,0.580
29760186,00004,766.7034792,0.580
29760187,00004,766.7034815,0.580
29760188,00004,766.7034792,0.580
29760189,00004,766.7034805,0.580
29760190,00004,766.7034804,0.580
29760191,00004,766.7034784,0.580
29760192,00004,766.7034795,0.580
29760193,00004,766.7034811,0.580
29760194,00004,766.7034792,0.580
29760195,00004,766.7034789,0.580
29760196,00004,766.7034790,0.580
29760197,00004,766.7034793,0.580
29760198,00004,766.7034804,0.580
29760199,00004,766.7034777,0.580
29760200,00004,766.7034791,0.580
29760201,00004,766.7034809,0.580
29760202,00004,766.7034785,0.580
29760203,00004,766.7034784,0.580
29760204,00004,766.7034820,0.580
29760205,00004,766.7034797,0.580
29760206,00004,766.7034807,0.580
29760207,00004,766.7034793,0.580
29760208,00004,766.7034802,0.580
29760209,00004,766.7034809,0.580
29760210,00004,766.7034789,0.580
29760211,00004,766.7034795,0.580
29760212,00004,766.7034804,0.580
29760213,00004,766.7034824,0.580
29760214,00004,766.7034794,0.580
29760215,00004,766.7034804,0.580
29760216,00004,766.7034785,0.580
29760217,00004,766.7034796,0.580
29760218,00004,766.7034793,0.580
29760219,00004,766.7034795,0.580
29760220,00004,766.7034790,0.580
29760221,00004,766.7034791,0.580
29760222,00004,766.7034810,0.580
29760223,00004,766.7034797,0.580
29760224,00004,766.7034810,0.580
29760225,00004,766.7034806,0.580
29760226,00004,766.7034810,0.579
29760227,00004,766.7034802,0.579
29760228,00004,766.7034788,0.580
29760229,00004,766.7034833,0.580
29760230,00004,766.7034815,0.580
29760231,00004,766.7034799,0.580
29760232,00004,766.7034812,0.580
29760233,00004,766.7034821,0.580
29760234,00004,766.7034812,0.580
29760235,00004,766.7034800,0.580
29760236,00004,766.7034794,0.579
29760237,00004,766.7034798,0.580
29760238,00004,766.7034811,0.580
29760239,00004,766.7034813,0.580
29760240,00004,766.7034792,0.580
29760241,00004,766.7034781,0.580
29760242,00004,766.7034790,0.580
29760243,00004,766.7034796,0.580
29760244,00004,766.7034797,0.580
29760245,00004,766.7034823,0.580
29760246,00004,766.7034817,0.580
29760247,00004,766.7034800,0.580
29760248,00004,766.7034822,0.580
29760249,00004,766.7034805,0.580
29760250,00004,766.7034807,0.580
29760251,00004,766.7034802,0.580
29760252,00004,766.7034795,0.580
29760253,00004,766.7034809,0.580
29760254,00004,766.7034798,0.580
29760255,00004,766.7034793,0.580
29760256,00004,766.7034803,0.580
29760257,00004,766.7034782,0.580
29760258,00004,766.7034795,0.580
29760259,00004,766.7034819,0.580
29760260,00004,766.7034803,0.580
29760261,00004,766.7034800,0.580
29760262,00004,766.7034805,0.579
29760263,00004,766.7034806,0.580
29760264,00004,766.7034807,0.580
29760265,00004,766.7034795,0.580
29760266,00004,766.7034797,0.580
29760267,00004,766.7034800,0.580
29760268,00004,766.7034826,0.580
29760269,00004,766.7034820,0.580
29760270,00004,766.7034810,0.580
29760271,00004,766.7034794,0.580
29760272,00004,766.7034806,0.580
29760273,00004,766.7034801,0.580
29760274,00004,766.7034816,0.580
29760275,00004,766.7034805,0.580
